State,omega
Alabama,0.05786205091886977
Arizona,0.07032163724214734
Arkansas,0.01374092677434598
Colorado,2.384169770332798e-14
Connecticut,5.9453733425026636e-15
Delaware,1.2169372727674657e-14
Florida,0.0311057568849364
Georgia,0.0151130416543844
Idaho,2.6004940089724897e-14
Illinois,2.7433613299426522e-14
Indiana,2.7797640168453346e-14
Iowa,0.0
Kansas,0.0
Kentucky,0.08746161603645806
Louisiana,0.10334043428228099
Maine,3.3994291381005005e-15
Maryland,0.0
Massachusetts,1.3894694829459933e-14
Michigan,0.026028718797639683
Minnesota,0.0
Mississippi,0.05685470899638342
Missouri,0.0
Montana,2.7381717350161414e-15
Nebraska,0.0
Nevada,0.025127061639978347
New Hampshire,1.3735470415623392e-15
New Mexico,0.06616845664221174
North Carolina,2.6229742697619096e-14
North Dakota,0.0
Ohio,0.01836663162955158
Oklahoma,0.06924962006008417
Oregon,0.003517699401925083
Pennsylvania,0.027468964884891558
South Carolina,2.8171281186513487e-14
South Dakota,0.0
Tennessee,0.042976941360468375
Texas,0.061642403714641164
Utah,0.06897963362590208
Vermont,0.0
Virginia,2.6497734249907454e-14
West Virginia,0.15467369545283943
Wisconsin,0.0
Wyoming,1.4284818194639066e-14
