State,omega
Alabama,0.05788911243345949
Arizona,0.06989106293670319
Arkansas,0.01602957610436459
Colorado,2.940547703326579e-14
Connecticut,9.044232859453182e-15
Delaware,1.6345972408711776e-14
Florida,0.03182508660252745
Georgia,0.01699075319685012
Idaho,3.98663265304428e-14
Illinois,4.109879187703864e-14
Indiana,4.192981026796047e-14
Iowa,3.0404770446310026e-15
Kansas,4.0331364402443265e-15
Kentucky,0.08618258330146229
Louisiana,0.10083978388156091
Maine,1.0030972077365048e-14
Maryland,1.539455539689988e-15
Massachusetts,2.354437573060795e-14
Michigan,0.027078364682846853
Minnesota,2.9072503208512574e-15
Mississippi,0.05727660631018255
Missouri,1.3573789477695946e-15
Montana,4.395145111627908e-15
Nebraska,3.1026495562446262e-15
Nevada,0.025628822659716114
New Hampshire,4.781698057671336e-15
New Mexico,0.06521452485775273
North Carolina,3.9535440786561914e-14
North Dakota,3.582265914000002e-15
Ohio,0.019766380143322878
Oklahoma,0.06790378069345185
Oregon,0.00557566364666109
Pennsylvania,0.028501343609036955
South Carolina,4.1722762422924127e-14
South Dakota,3.5467387353897446e-15
Tennessee,0.043082074212790894
Texas,0.061219226004135346
Utah,0.06797360232015873
Vermont,1.965781145147148e-15
Virginia,3.7784388709177374e-14
West Virginia,0.15113165240288845
Wisconsin,2.623033139196945e-15
Wyoming,2.307539546862568e-14
